,id_nr,x,y
161,161,31.31100525,3.3874235500000003
162,162,31.30861145,3.3863296
163,163,31.30880565,3.386511
164,164,31.3086457,3.3866222
165,165,31.308914199999997,3.38664165
166,166,31.3088547,3.3865475
167,167,31.309072200000003,3.38669025
168,168,31.3091901,3.38662705
169,169,31.30880745,3.38658755
170,170,31.31057175,3.37415065
171,171,31.3105063,3.3743555499999998
172,172,31.31070835,3.37399905
173,173,31.3106516,3.37388575
174,174,31.310281250000003,3.3739369999999997
175,175,31.31082765,3.3736309
176,176,31.30984905,3.3744476
177,177,31.309814,3.373904
178,178,31.308689299999998,3.3867272
179,179,31.307731750000002,3.37149675
180,180,31.30765285,3.3714796500000004
181,181,31.307763350000002,3.37168555
182,182,31.307462649999998,3.3716359000000002
183,183,31.3079078,3.37186325
184,184,31.307795,3.37175665
